collision_index,longitude,latitude,collision_severity,collision_year
2022991144207,-3.964399,55.841359,3,2022
2024622400715,-3.93666,51.64434,3,2024
2022170M20892,-1.197889,54.553443,3,2022
2023041279488,-3.039662,53.82572,3,2023
2023161259760,-0.384456,53.76468,2,2023
2022161131810,-0.079552,53.553825,3,2022
2024161434372,-0.06918,53.56806,3,2024
2024311409985,-1.21782,52.97395,3,2024
2023221353443,-2.720158,52.044043,3,2023
2022522203310,-2.606131,51.462659,3,2022
2022522205484,-2.616904,51.489829,3,2022
2023522400208,-2.627848,51.409889,2,2023
2022461260599,0.532681,51.398414,3,2022
2023430260616,-0.611396,51.483001,3,2023
2022471206452,-0.139707,50.822504,3,2022
2024440170287,-1.0766,50.79584,3,2024
2022070323736,-2.507947,53.202959,2,2022
2022070617354,-2.875768,53.192624,3,2022
2023031343217,-3.184372,54.149205,3,2023
2022061204196,-2.460684,53.557898,3,2022
2024061514576,-2.33375,53.60901,2,2024
2022061187443,-2.215829,53.510296,3,2022
2022061207526,-2.271421,53.450679,3,2022
2022061215078,-2.187217,53.409305,2,2022
2022052201424,-2.976215,53.399132,3,2022
2022052203029,-2.920009,53.447866,3,2022
